"date","close","volume","open","high","low"
"2015/01/28","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/27","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/26","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/23","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/22","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/21","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/20","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/16","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/15","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/14","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/13","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/12","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/09","0.1000","4900.0000","0.1000","0.1000","0.1000"
"2015/01/08","0.1300","300.0000","0.1300","0.1300","0.1300"
"2015/01/07","0.1200","0.0000","0.1200","0.1200","0.1200"
"2015/01/06","0.1200","1554.0000","0.1200","0.1200","0.1200"
"2015/01/05","0.1000","0.0000","0.1000","0.1000","0.1000"
"2015/01/02","0.1000","2240.0000","0.1000","0.1000","0.1000"
"2014/12/31","0.1000","100.0000","0.1000","0.1000","0.1000"
"2014/12/30","0.1000","3410.0000","0.1000","0.1000","0.1000"
"2014/12/29","0.1000","0.0000","0.1000","0.1000","0.1000"
"2014/12/26","0.1000","0.0000","0.1000","0.1000","0.1000"
"2014/12/24","0.1000","0.0000","0.1000","0.1000","0.1000"
"2014/12/23","0.1000","711.0000","0.1000","0.1000","0.1000"
"2014/12/22","0.1000","4000.0000","0.1001","0.1001","0.1000"
"2014/12/19","0.1000","0.0000","0.1000","0.1000","0.1000"
"2014/12/18","0.1000","40587.0000","0.1120","0.1120","0.1000"
"2014/12/17","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/16","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/15","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/12","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/11","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/10","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/09","0.1120","0.0000","0.1120","0.1120","0.1120"
"2014/12/08","0.1120","3050.0000","0.1120","0.1120","0.1120"
"2014/12/05","0.1120","7000.0000","0.1120","0.1120","0.1120"
"2014/12/04","0.1360","0.0000","0.1360","0.1360","0.1360"
"2014/12/03","0.1360","0.0000","0.1360","0.1360","0.1360"
"2014/12/02","0.1360","55000.0000","0.1320","0.1360","0.1120"
"2014/12/01","0.1500","0.0000","0.1500","0.1500","0.1500"
"2014/11/28","0.1500","126068.0000","0.1400","0.1500","0.1310"
"2014/11/26","0.1400","80289.0000","0.1300","0.1400","0.1300"
"2014/11/25","0.0910","134542.0000","0.1500","0.2500","0.0910"
"2014/11/24","0.1100","400.0000","0.1100","0.1100","0.1100"
"2014/11/21","0.1900","105400.0000","0.1200","0.1900","0.1200"
"2014/11/20","0.1200","0.0000","0.1200","0.1200","0.1200"
"2014/11/19","0.1200","3200.0000","0.1200","0.1200","0.1200"
"2014/11/18","0.1600","105116.0000","0.1100","0.1600","0.1100"
"2014/11/17","0.1500","100000.0000","0.1500","0.1500","0.1500"
"2014/11/14","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/13","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/12","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/11","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/10","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/07","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/06","0.1010","0.0000","0.1010","0.1010","0.1010"
"2014/11/05","0.1010","825.0000","0.0900","0.1010","0.0900"
"2014/11/04","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/11/03","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/31","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/30","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/29","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/28","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/27","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/24","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/23","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/22","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/21","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/20","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/17","0.0900","1250.0000","0.0900","0.0900","0.0900"
"2014/10/16","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/15","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/14","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/13","0.0900","0.0000","0.0900","0.0900","0.0900"
"2014/10/10","0.0900","350.0000","0.0900","0.0900","0.0900"
"2014/10/09","0.1200","3601.0000","0.1200","0.1200","0.1200"
"2014/10/08","0.1200","0.0000","0.1200","0.1200","0.1200"
"2014/10/07","0.1200","0.0000","0.1200","0.1200","0.1200"
"2014/10/06","0.1200","4599.0000","0.1200","0.1200","0.1200"
"2014/10/03","0.1200","0.0000","0.1200","0.1200","0.1200"
"2014/10/02","0.1200","250.0000","0.1200","0.1200","0.1200"
"2014/10/01","0.1100","0.0000","0.1100","0.1100","0.1100"
"2014/09/30","0.1100","0.0000","0.1100","0.1100","0.1100"
"2014/09/29","0.1100","0.0000","0.1100","0.1100","0.1100"
"2014/09/26","0.1100","0.0000","0.1100","0.1100","0.1100"
